job_title,employment_type,experience_level,salary,salary_currency,company_location,salary_in_usd,employee_residence,company_size,work_year,remote_type,role_category,salary_band,international_job
Data Analyst,FT,EN,42000,EUR,Germany,47899,Germany,L,2020,Unknown,Data Analyst / BI,Low,False
Lead Machine Learning Engineer,FT,SE,115000,USD,IL,115000,MD,S,2023,Unknown,ML / AI Engineer,Medium,True
Applied Scientist,FT,SE,216000,USD,United States,216000,United States,M,2023,Unknown,Data Scientist,Very High,False
Applied Scientist,FT,SE,184000,USD,United States,184000,United States,M,2023,Unknown,Data Scientist,High,False
Machine Learning Engineer,FT,SE,145000,USD,United States,145000,United States,M,2023,Unknown,ML / AI Engineer,High,False
Machine Learning Engineer,FT,SE,284000,USD,United States,284000,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
Machine Learning Engineer,FT,SE,227000,USD,United States,227000,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
Research Scientist,FT,SE,205000,USD,United States,205000,United States,M,2023,Unknown,Research,Very High,False
Research Scientist,FT,SE,160000,USD,United States,160000,United States,M,2023,Unknown,Research,High,False
Machine Learning Engineer,FT,SE,191400,USD,United States,191400,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
Machine Learning Engineer,FT,SE,127600,USD,United States,127600,United States,M,2023,Unknown,ML / AI Engineer,Medium,False
Machine Learning Engineer,FT,SE,230000,USD,United States,230000,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
Data Analyst,FT,SE,139600,USD,United States,139600,United States,M,2023,Unknown,Data Analyst / BI,High,False
Data Analyst,FT,SE,85700,USD,United States,85700,United States,M,2023,Unknown,Data Analyst / BI,Low,False
Data Analytics Manager,FT,MI,3200000,INR,India,38915,India,M,2023,Unknown,Data Analyst / BI,Low,False
Data Quality Analyst,FT,MI,70000,USD,United States,70000,United States,M,2023,Unknown,Data Analyst / BI,Low,False
Data Engineer,FT,MI,258000,USD,United States,258000,United States,M,2023,Unknown,Data Engineer,Very High,False
Data Engineer,FT,MI,171000,USD,United States,171000,United States,M,2023,Unknown,Data Engineer,High,False
Data Engineer,FT,SE,87000,USD,Canada,87000,Canada,M,2023,Unknown,Data Engineer,Low,False
Data Engineer,FT,SE,73000,USD,Canada,73000,Canada,M,2023,Unknown,Data Engineer,Low,False
AI Scientist,FT,EN,20000,USD,TR,20000,TR,S,2023,Unknown,ML / AI Engineer,Low,False
Managing Director Data Science,FT,Executive,300000,USD,United States,300000,United States,L,2020,Unknown,Data Scientist,Very High,False
Data Modeller,FT,MI,90000,GBP,United Kingdom,110736,United Kingdom,M,2023,Unknown,Data Architecture / Infrastructure,Medium,False
Data Modeller,FT,MI,45000,GBP,United Kingdom,55368,United Kingdom,M,2023,Unknown,Data Architecture / Infrastructure,Low,False
Data Engineer,FT,SE,232960,USD,United States,232960,United States,M,2023,Unknown,Data Engineer,Very High,False
Data Engineer,FT,SE,151840,USD,United States,151840,United States,M,2023,Unknown,Data Engineer,High,False
Data Engineer,FT,SE,163152,USD,United States,163152,United States,M,2023,Unknown,Data Engineer,High,False
Data Engineer,FT,SE,108768,USD,United States,108768,United States,M,2023,Unknown,Data Engineer,Medium,False
Research Engineer,FT,SE,370000,USD,United States,370000,United States,M,2023,Unknown,Research,Very High,False
Research Engineer,FT,SE,245000,USD,United States,245000,United States,M,2023,Unknown,Research,Very High,False
Machine Learning Engineer,FT,SE,285000,USD,United States,285000,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
Machine Learning Engineer,FT,SE,193900,USD,United States,193900,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
Research Scientist,FT,SE,240000,USD,United States,240000,United States,M,2023,Unknown,Research,Very High,False
Research Scientist,FT,SE,163200,USD,United States,163200,United States,M,2023,Unknown,Research,High,False
Machine Learning Engineer,FT,SE,240000,USD,United States,240000,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
Machine Learning Engineer,FT,SE,163200,USD,United States,163200,United States,M,2023,Unknown,ML / AI Engineer,High,False
Research Scientist,FT,SE,345000,USD,United States,345000,United States,M,2023,Unknown,Research,Very High,False
Research Scientist,FT,SE,234700,USD,United States,234700,United States,M,2023,Unknown,Research,Very High,False
AI Scientist,FT,SE,100000,USD,United States,100000,TR,S,2023,Unknown,ML / AI Engineer,Medium,True
Finance Data Analyst,FT,EN,40000,USD,NG,40000,NG,S,2023,Unknown,Data Analyst / BI,Low,False
Data Engineer,FT,SE,241000,USD,United States,241000,United States,M,2023,Unknown,Data Engineer,Very High,False
Software Data Engineer,FT,SE,210000,USD,United States,210000,United States,L,2023,Unknown,Data Engineer,Very High,False
Machine Learning Research Engineer,FT,MI,90000,USD,SA,90000,SA,M,2023,Unknown,Research,Low,False
Data Analyst,FT,MI,55000,EUR,Germany,59382,Germany,L,2023,Unknown,Data Analyst / BI,Low,False
Analytics Engineer,FT,SE,221300,USD,United States,221300,United States,M,2023,Unknown,Data Analyst / BI,Very High,False
Analytics Engineer,FT,SE,147500,USD,United States,147500,United States,M,2023,Unknown,Data Analyst / BI,High,False
Machine Learning Engineer,FT,SE,210000,USD,United States,210000,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
Machine Learning Engineer,FT,SE,160000,USD,United States,160000,United States,M,2023,Unknown,ML / AI Engineer,High,False
